@relation whatever

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute class { abnormal , normal } 


@data
19094.05903 , 381.5996176 , 0.925384733 , 0.925384733 , 193543450.5 , -106426.3136 , 10.47880713 , 0.000230968 , 8.842518319 , 0.273401159 , 0.19985016 , 0.001330027 , 19279.33119 , 258.685589 , 73733.79378 , 5.912585212 , 381.5996176 , 3.321554119 , -0.3148836 , 0.981209863 , 0.963645475 , 0.994797447 , abnormal 
20704.24239 , 247.1868737 , 0.936135271 , 0.936135271 , 201765233.5 , -498916.4276 , 8.681868326 , 0.000365492 , 8.545142301 , 0.287351341 , 0.211227655 , 0.002269623 , 20850.94411 , 274.9032693 , 79947.44247 , 5.728430908 , 247.1868737 , 3.163717547 , -0.308346272 , 0.977310575 , 0.969172914 , 0.996522942 , abnormal 
15851.35978 , 88.53322561 , 0.974575077 , 0.974575077 , 111829271.5 , 125408.2007 , 4.439661598 , 0.000630926 , 7.972467852 , 0.398180331 , 0.324248108 , 0.004902672 , 15901.72693 , 237.9523519 , 60800.20507 , 5.729281639 , 88.53322561 , 2.503932026 , -0.421496225 , 0.992836685 , 0.983779844 , 0.998741737 , abnormal 
16506.82372 , 268.4837796 , 0.925455244 , 0.925455244 , 125279339.5 , -89196.90164 , 8.405838293 , 0.000296193 , 8.672105978 , 0.287409154 , 0.20981464 , 0.001754789 , 16637.23461 , 243.6421794 , 63511.51414 , 5.782459216 , 268.4837796 , 3.121740978 , -0.302728232 , 0.976810972 , 0.970320613 , 0.996455888 , abnormal 
17491.92783 , 69.60543726 , 0.984421706 , 0.984421706 , 189618914.4 , -40232.1103 , 4.780238347 , 0.000402353 , 8.330720821 , 0.366845216 , 0.289952924 , 0.001840971 , 17536.21152 , 247.3401154 , 67149.07929 , 5.90918293 , 69.60543726 , 2.618141957 , -0.405208318 , 0.992641944 , 0.982280498 , 0.998962139 , abnormal 
20355.33743 , 172.8239656 , 0.923896207 , 0.923896207 , 66370555.77 , 88455.72672 , 6.324563551 , 0.000492327 , 8.189723426 , 0.329574155 , 0.250946065 , 0.001879964 , 20423.27737 , 277.8943882 , 78525.45107 , 5.577351624 , 172.8239656 , 2.842492005 , -0.328932475 , 0.979552269 , 0.977314745 , 0.997763017 , abnormal 
12087.98519 , 64.67985883 , 0.971748357 , 0.971748357 , 55777298.04 , -117560.0118 , 4.984180668 , 0.000527622 , 8.048266835 , 0.351443505 , 0.273149958 , 0.002126731 , 12109.77128 , 209.5361337 , 46117.7293 , 5.559420401 , 64.67985883 , 2.678772665 , -0.350417124 , 0.983341807 , 0.981432274 , 0.999031316 , abnormal 
14024.84142 , 59.7133813 , 0.983277199 , 0.983277199 , 132301453.8 , 66376.3617 , 3.758138183 , 0.000583971 , 7.94936261 , 0.409257872 , 0.334776158 , 0.002184304 , 14071.93115 , 221.5453274 , 53632.80295 , 5.776803225 , 59.7133813 , 2.362301029 , -0.438445682 , 0.99411973 , 0.986091718 , 0.999142222 , abnormal 
11682.33025 , 190.5020641 , 0.957186877 , 0.957186877 , 147558625 , -48390.759 , 5.980733494 , 0.000486551 , 8.101672678 , 0.359979174 , 0.284460359 , 0.00213071 , 11822.64592 , 195.5158386 , 44710.61152 , 5.73377568 , 190.5020641 , 2.742244265 , -0.401025286 , 0.991279541 , 0.97881701 , 0.997554745 , abnormal 
19394.73508 , 96.00450495 , 0.978721247 , 0.978721247 , 282524156.6 , -811596.4571 , 5.267965458 , 0.000507551 , 8.28626499 , 0.351851971 , 0.273824311 , 0.001997354 , 19440.59299 , 262.1977374 , 74687.33146 , 5.760532255 , 96.00450495 , 2.698456066 , -0.367256707 , 0.987747573 , 0.980669275 , 0.998621564 , abnormal 
9936.849856 , 274.1755566 , 0.911661428 , 0.911661428 , 102207722.2 , 352856.301 , 7.077984269 , 0.000573792 , 8.185544624 , 0.342402341 , 0.26699287 , 0.003183274 , 10079.30618 , 184.6278037 , 37982.39675 , 5.60756143 , 274.1755566 , 2.876302912 , -0.343114481 , 0.982864768 , 0.975433722 , 0.996494038 , abnormal 
